Graph File,Graph Name,Version,Heuristic,Best Cost,Avg Cost,Worst Cost,Best Time (µs),Avg Time (µs),Worst Time (µs)
ch150,150 city Problem (churritz),Semi-Greedy 5,NN+NSh,7368.723,8457.011,9908.539,3578.889,6876.469,17184.568
ch150,150 city Problem (churritz),Semi-Greedy 5,NN+2opt,6836.774,7155.085,7623.133,11883.180,15985.646,33914.031
ch150,150 city Problem (churritz),Semi-Greedy 5,NN+2.5opt,6627.921,6985.879,7424.278,23172.897,45724.223,99897.386
ch150,150 city Problem (churritz),Semi-Greedy 5,FI,6932.527,6932.527,6932.527,2244.424,2244.424,2244.424
ch150,150 city Problem (churritz),Semi-Greedy 5,FI+NSh,6871.521,6871.521,6871.521,1849.728,1849.728,1849.728
ch150,150 city Problem (churritz),Semi-Greedy 5,FI+2opt,6782.045,6782.045,6782.045,422.487,422.487,422.487
ch150,150 city Problem (churritz),Semi-Greedy 5,FI+2.5opt,7024.046,7024.046,7024.046,2708.037,2708.037,2708.037
ch150,150 city Problem (churritz),Semi-Greedy 5,MST,8842.803,9253.515,9580.985,371.929,387.433,659.292
ch150,150 city Problem (churritz),Semi-Greedy 5,MST+NSh,7211.422,7529.109,8021.607,2308.426,4364.890,14448.425
ch150,150 city Problem (churritz),Semi-Greedy 5,MST+2opt,6636.804,6835.897,7035.841,4272.975,5507.253,9003.439
ch150,150 city Problem (churritz),Semi-Greedy 5,MST+2.5opt,6566.271,6836.500,7189.493,8063.622,16944.414,33722.328
eil101,101-city problem (Christofides/Eilon),Greedy,NN,753.463,844.889,906.845,186.883,209.685,987.775
eil101,101-city problem (Christofides/Eilon),Greedy,NN+NSh,679.666,717.529,759.494,813.537,1322.520,3672.249
eil101,101-city problem (Christofides/Eilon),Greedy,NN+2opt,653.447,671.317,692.965,936.751,1572.127,2981.144
eil101,101-city problem (Christofides/Eilon),Greedy,NN+2.5opt,642.556,671.411,700.216,1413.641,4210.537,9598.766
eil101,101-city problem (Christofides/Eilon),Greedy,FI,690.573,690.573,690.573,295.715,295.715,295.715
eil101,101-city problem (Christofides/Eilon),Greedy,FI+NSh,663.131,663.131,663.131,716.112,716.112,716.112
eil101,101-city problem (Christofides/Eilon),Greedy,FI+2opt,678.551,678.551,678.551,510.659,510.659,510.659
eil101,101-city problem (Christofides/Eilon),Greedy,FI+2.5opt,670.996,670.996,670.996,1337.610,1337.610,1337.610
eil101,101-city problem (Christofides/Eilon),Greedy,MST,834.240,858.204,877.509,92.058,107.776,198.198
eil101,101-city problem (Christofides/Eilon),Greedy,MST+NSh,677.611,701.586,725.441,808.389,1073.490,2397.648
eil101,101-city problem (Christofides/Eilon),Greedy,MST+2opt,669.684,677.160,694.356,1141.851,1733.245,2554.150
eil101,101-city problem (Christofides/Eilon),Greedy,MST+2.5opt,662.772,675.957,693.229,2432.470,4684.541,7924.603
eil101,101-city problem (Christofides/Eilon),Semi-Greedy 3,NN,982.267,1156.506,1350.837,518.394,591.998,1974.732
eil101,101-city problem (Christofides/Eilon),Semi-Greedy 3,NN+NSh,692.103,747.903,810.360,980.478,1910.370,3519.752
eil101,101-city problem (Christofides/Eilon),Semi-Greedy 3,NN+2opt,673.056,694.554,729.946,2344.379,3057.637,6371.146
eil101,101-city problem (Christofides/Eilon),Semi-Greedy 3,NN+2.5opt,661.502,678.064,697.972,4204.878,8233.803,16310.929
